game_id,queen_w,rooks_w,bishops_w,knights_w,pawns_w,queen_b,rooks_b,bishops_b,knights_b,pawns_b
XdZy4FhF,0,0,0,0,0,0,0,0,0,0
tUD5zDmN,0,0,0,0,0,0,0,0,0,0
gZPdcZY8,0,0,0,0,0,0,0,0,0,0
uESju2Bb,0,0,0,0,0,0,0,0,0,0
fWg9tuL2,0,0,0,0,0,1,0,0,0,0
5C6lbi13,0,0,0,0,0,0,0,0,0,0
MFvG5aPz,0,0,0,0,0,0,0,0,0,0
RCRw45F2,0,1,0,0,0,0,0,0,0,0
DeH0VB7V,0,0,0,0,0,0,0,0,0,0
ggNTTpSU,0,1,0,0,0,0,0,0,0,0
xZfb2h0a,0,0,0,0,0,0,0,0,0,0
U6VUNHEa,0,0,0,0,0,0,0,0,0,0
nXRDTi2h,0,0,0,0,0,0,0,0,0,0
68r6Xi8I,0,0,0,0,0,1,0,0,0,0
tZcpg70W,1,0,0,0,0,0,0,0,0,0
zzZHnN42,0,0,0,0,0,0,0,0,0,0
Jf9ms4cp,1,0,0,0,0,0,0,0,0,0
4y27HIE1,0,0,0,0,0,0,0,0,0,0
8kaPB8V1,1,0,0,0,0,0,0,0,0,0
nBqeu47i,0,0,0,0,0,0,0,0,0,0
dnSvz91D,0,0,0,0,0,1,0,0,0,0
O69Ic64X,0,0,0,0,0,0,0,0,0,0
yagyocZ5,0,0,0,0,0,0,0,0,0,0
5qEH2GdI,0,0,0,0,0,0,0,0,0,0
Jvv5QWKY,0,0,0,0,0,0,0,0,0,0
gkpoVjhW,0,1,0,0,0,0,0,0,0,0
TerkVVJ6,0,0,1,0,0,0,0,0,0,0
CQmWpW3z,0,0,0,0,0,0,0,0,0,0
OALsBvZ4,0,0,0,0,0,0,1,0,0,0
7l0e3JUX,0,0,0,0,0,0,0,0,0,0
bwf85wcY,0,0,0,0,0,0,0,0,0,0
EAyElHDL,0,0,0,0,0,0,0,0,0,0
SYdWFHVM,0,0,0,0,0,0,0,0,0,0
HJVDilnF,0,0,0,0,0,0,0,0,0,0
ErlN2GUt,0,0,1,0,0,0,0,0,0,0
rUIEe34e,0,0,0,0,0,0,0,0,0,0
